Account Name,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Total

Operating Income & Expense,,,,,,,,,,,,,
    Income,,,,,,,,,,,,,
        Resident / Tenant Rents & Asmts,"36,061.29","36,443.00","36,074.68","36,795.00","36,795.00","36,780.00","36,086.79","36,371.13","35,730.00","36,173.39","35,452.16","35,318.21","434,080.65"
        Short Term Rentals,0.00,"2,970.62",0.00,"2,781.46",0.00,"3,116.88",770.52,"1,280.10","1,459.46",0.00,"1,842.04",0.00,"14,221.08"
        Concessions,0.00,-25.00,0.00,-25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-50.00
        Concessions - Rent,-51.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-55.00,0.00,0.00,0.00,-106.77
        Move In Specials / Incentives,0.00,0.00,-500.00,0.00,0.00,0.00,0.00,-500.00,0.00,-500.00,0.00,-500.00,"-2,000.00"
        Move Out Charges - Resident,300.00,-368.00,0.00,0.00,0.00,0.00,0.00,529.00,879.00,829.00,"1,579.00",941.00,"4,689.00"
        DNU-Move Out Carpet Cleaning,125.00,-375.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-250.00
        DNU-Move Out Damages,0.00,-500.00,0.00,0.00,0.00,0.00,279.00,0.00,0.00,0.00,0.00,0.00,-221.00
        Resident Charge Non Move Out,0.00,0.00,138.65,0.00,0.00,155.77,0.00,0.00,0.00,0.00,0.00,0.00,294.42
        Late Fees,0.00,0.00,0.00,0.00,0.00,-100.00,0.00,0.00,0.00,0.00,0.00,0.00,-100.00
        Insurance Admin Fee,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,-4.50,0.00,0.00
        Insurance Svcs Income,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,29.50,30.50,80.00
        Credit Reporting Services Income,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.75,65.70,116.45
        Garbage,546.45,560.00,579.19,595.00,595.00,525.00,646.25,580.32,560.00,561.13,546.84,555.32,"6,850.50"
        Water Service,"1,840.97","1,610.00","1,651.13","1,685.00","1,685.00","1,635.00","1,708.21","1,653.55","1,610.00","1,630.17","1,577.50","1,527.74","19,814.27"
