Date,Monthly Revenue,Occupancy Rate,Total Units,Maintenance Cost,Utilities Cost,Insurance Cost,Property Tax,Other Expenses,Net Income
2024-01-15,38971.94,95.0,26,5000.00,3000.00,1500.00,2000.00,6437.05,21034.89
2024-02-15,40495.62,96.0,26,4000.00,2500.00,1200.00,1800.00,5719.04,25219.58
2024-03-15,38063.65,94.0,26,4500.00,2800.00,1400.00,1900.00,4596.33,22867.32
2024-04-15,41981.46,98.0,26,3000.00,2000.00,1000.00,1500.00,2470.92,31010.54
2024-05-15,39225.00,92.0,26,8000.00,5000.00,2500.00,3000.00,9250.39,11474.61
2024-06-15,42262.65,97.0,26,5000.00,3000.00,1500.00,2000.00,4447.42,24315.23
2024-07-15,39640.77,95.0,26,3500.00,2200.00,1100.00,1600.00,3734.67,26506.10
2024-08-15,40068.62,96.0,26,4000.00,2500.00,1200.00,1800.00,4709.94,24858.68
2024-09-15,40333.46,95.0,26,5000.00,3000.00,1500.00,2000.00,6278.28,21555.18
2024-10-15,39000.29,94.0,26,4500.00,2800.00,1400.00,1900.00,4187.84,22212.45
2024-11-15,41233.29,97.0,26,5000.00,3000.00,1500.00,2000.00,4396.92,23336.37
2024-12-15,38206.05,95.0,26,4000.00,2500.00,1200.00,1800.00,6031.27,19674.78
